,Genus,Meaning or derivation,Family,Order,C,G
1026,Macrozamia,large Zamia,Zamiaceae,Cycadales,,G
1027,Madhuca,Sanskrit name,Sapotaceae,Ericales,,
1028,Madia,Chilean name,Asteraceae,Asterales,,G
1029,Maesa,Arabic name,Primulaceae,Ericales,,G
1030,Maianthemum,May flowers,Asparagaceae,Asparagales,C,G
1031,Malachra,Malva,Malvaceae,Malvales,,
1032,Mallotus,woolly,Euphorbiaceae,Malpighiales,,G
1033,Malope,Latin name,Malvaceae,Malvales,,G
1034,Malus,Greek and Latin name,Rosaceae,Rosales,C,G
1035,Malva,Latin name[4],Malvaceae,Malvales,C,G
1036,Malvastrum,Latin: mallow-like,Malvaceae,Malvales,,G
1037,Malvaviscus,Latin: sticky mallow,Malvaceae,Malvales,,G
1038,Mammea,West Indian name,Calophyllaceae,Malpighiales,,G
1039,Mammillaria,Latin: nippled,Cactaceae,Caryophyllales,,G
1040,Mandragora,Greek and Latin name,Solanaceae,Solanales,,G
1041,Mangifera,Indian name,Anacardiaceae,Sapindales,,G
1042,Manihot,Brazilian name,Euphorbiaceae,Malpighiales,,G
1043,Manilkara,South Indian name,Sapotaceae,Ericales,,
1044,Manulea,"Latin: hand, from the finger-like petals",Scrophulariaceae,Lamiales,,
1045,Margyricarpus,pearl-fruit,Rosaceae,Rosales,,G
1046,Marrubium,Latin name,Lamiaceae,Lamiales,,G
1047,Mascarenhasia,Mascarene Islands,Apocynaceae,Gentianales,,G
1048,Matricaria,Latin name,Asteraceae,Asterales,,G
1049,Mauritia,Surinamese name,Arecaceae,Arecales,,
1050,Maxillaria,named for its resemblance to an insect maxilla,Orchidaceae,Asparagales,,G
1051,Mayaca,French Guianese name[4],Mayacaceae,Poales,,G
1052,Maytenus,Chilean name,Celastraceae,Celastrales,C,G
1053,Mazus,"teat, for swellings on the lower lip of the flowers[4]",Mazaceae,Lamiales,C,G
1054,Meconopsis,poppy-like,Papaveraceae,Ranunculales,C,G
1055,Medeola,Medea,Liliaceae,Liliales,,G
1056,Medicago,Greek and Latin name,Fabaceae,Fabales,,G
1057,Megaskepasma,large covering (the bracts),Acanthaceae,Lamiales,,
1058,Melaleuca,black and white,Myrtaceae,Myrtales,,G
1059,Melanthium,dark flowers[4],Melanthiaceae,Liliales,,
1060,Melasphaerula,black small bulbs,Iridaceae,Asparagales,,G
1061,Melastoma,black mouth. (The berries stain the mouth when eaten.)[4],Melastomataceae,Myrtales,,G
1062,Melia,Greek name[4],Meliaceae,Sapindales,C,G
1063,Melianthus,"honey flowers, for its nectar",Melianthaceae,Geraniales,C,G
1064,Melica,"honey, for its sweet sap",Poaceae,Poales,C,G
1065,Melicoccus,honey berries. Previously Melicocca.,Sapindaceae,Sapindales,,G
1066,Melicytus,honey jar,Violaceae,Malpighiales,,G
1067,Melilotus,honey lotus or honey clover,Fabaceae,Fabales,,G
1068,Meliosma,honey-scented,Sabiaceae,Proteales,,G
1069,Melissa,honey bee,Lamiaceae,Lamiales,C,G
1070,Melittis,honey-bearing or honey bee,Lamiaceae,Lamiales,C,G
1071,Melocactus,Latin: melon cactus,Cactaceae,Caryophyllales,,G
1072,Melothria,Greek and Latin name,Cucurbitaceae,Cucurbitales,,G
1073,Menispermum,moon seeds[4],Menispermaceae,Ranunculales,,G
1074,Mentha,Minthe,Lamiaceae,Lamiales,C,G
